name,level,stars,location,pos,slot,duration,times,is_collectable,is_legendary,is_ephemeral,yellow_scrip,white_scrip
Abalathian Rock Salt,60,,The Sea of Clouds,x7:y7,1,2:00,"10:00 AM,10:00 PM",TRUE,FALSE,FALSE,450,
Adamantite Ore,60,,Azys Lla,x23:y5,6,2:00,"12:00 AM,12:00 PM",TRUE,FALSE,FALSE,450,
Ala Mhigan Salt Crystal,70,,The Lochs,x21:y29,1,2:00,"12:00 AM,12:00 PM",FALSE,FALSE,FALSE,,
Almandine,70,2,The Lochs,x13:y16,7,4:00,12:00 AM,TRUE,FALSE,TRUE,,
Antumbral Rock,50,2,Eastern Thanalan,x26:y18,7,3:00,2:00 AM,FALSE,FALSE,FALSE,,
Ashen Alumen,80,2,Amh Araeng,x20.1:y8.6,2,2:00,"10:00 AM,10:00 PM",FALSE,TRUE,FALSE,,
Astral Moraine,60,1,Coerthas Western Highlands,x37:y16,4,2:00,"12:00 AM,12:00 PM",TRUE,TRUE,FALSE,450,
Astral Rock,50,1,Coerthas Central Highlands,x23:y26,7,3:00,9:00 PM,FALSE,FALSE,FALSE,,
Aurum Regis Ore,60,1,The Churning Mists,x11:y38,6,2:00,"2:00 AM,2:00 PM",TRUE,TRUE,FALSE,450,
Azim Spring Water,70,2,The Azim Steppe,x24:y37,1,2:00,"8:00 AM,8:00 PM",FALSE,TRUE,FALSE,,
Beryllium Ore,80,1,Il Mheg,x30:y21,5,2:00,"4:00 AM,4:00 PM",FALSE,TRUE,FALSE,,
Blue Quartz,60,1,The Dravanian Hinterlands,x11:y16,7,2:00,"6:00 AM,6:00 PM",TRUE,TRUE,FALSE,450,
Bright Fire Rock,60,1,The Dravanian Forelands,x17:y27,8,4:00,4:00 AM,TRUE,FALSE,TRUE,,
Bright Fire Rock,60,1,The Dravanian Hinterlands,x26:y24,8,4:00,8:00 AM,TRUE,FALSE,TRUE,,
Bright Fire Rock,60,1,The Churning Mists,x29:y19,8,4:00,12:00 PM,TRUE,FALSE,TRUE,,
Bright Lightning Rock,60,1,Coerthas Western Highlands,x21:y28,5,4:00,8:00 PM,TRUE,FALSE,TRUE,,
Bright Lightning Rock,60,1,The Sea of Clouds,x34:y30,5,4:00,4:00 PM,TRUE,FALSE,TRUE,,
Chalcocite,55,,The Dravanian Forelands,x27:y17,2,2:00,"8:00 AM,8:00 PM",TRUE,FALSE,FALSE,320,
Chromite Ore,70,1,The Peaks,x16:y34,6,2:00,"10:00 AM,10:00 PM",TRUE,TRUE,FALSE,470,
Coblyn Larva,50,1,Eastern Thanalan,x28:y22,7,3:00,9:00 AM,FALSE,FALSE,FALSE,,
